EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
102654,1854327,REGULAR,SWEET SAVANNAH'S FROZEN YOGURT & TOPPINGS,,10108 TAYLORSVILLE RD,,LOUISVILLE,KY,40299,FOOD SERVICE,2024/06/10 00:00:00,100,A,SWEET SAVANNAH'S FROZEN YOGURT & TOPPINGS,,4694
101258,1810809,FOLLOWUP,ASIAN BAZAAR,,2218 HIKES LN,,LOUISVILLE,KY,40218,SUPERMARKET WITH PROCESSING,2023/12/11 00:00:00,96,,ASIAN BAZAAR,,4695
102322,1801197,REGULAR,888 GREAT WALL,,9464 BROWNSBORO RD,,LOUISVILLE,KY,40241,FOOD SERVICE,2023/10/31 00:00:00,100,A,888 GREAT WALL,,4696
100743,1850711,REGULAR,LANDMARK RECOVERY,,4418 MALCOLM AVE,,LOUISVILLE,KY,40215,FOOD SERVICE,2024/05/28 00:00:00,100,A,LANDMARK RECOVERY,,4697
101835,1831570,REGULAR,FANTE'S COFFEE,,2501 GRINSTEAD DR,,LOUISVILLE,KY,40206,FOOD SERVICE,2024/03/13 00:00:00,100,A,FANTE'S COFFEE,,4698
100352,1804222,REGULAR,SMOOTHIE KING #716,,3925 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2023/11/13 00:00:00,100,A,SMOOTHIE KING #716,,4699
102658,1820106,REGULAR,4TH & CARDINAL FOOD MART,,1927 S 4TH ST,,LOUISVILLE,KY,40208,PRE-PACKAGED RETAIL,2024/01/24 00:00:00,90,,4TH & CARDINAL FOOD MART,,4700
101258,1811276,FOLLOWUP,ASIAN BAZAAR,,2218 HIKES LN,,LOUISVILLE,KY,40218,SUPERMARKET WITH PROCESSING,2023/12/12 00:00:00,99,,ASIAN BAZAAR,,4701
102322,1841619,REGULAR,888 GREAT WALL,,9464 BROWNSBORO RD,,LOUISVILLE,KY,40241,FOOD SERVICE,2024/04/24 00:00:00,100,A,888 GREAT WALL,,4702
100744,1817927,REGULAR,BEARNO'S PIZZA,,13829 ENGLISH VILLA DR,,LOUISVILLE,KY,40245,FOOD SERVICE,2024/01/12 00:00:00,95,A,BEARNO'S PIZZA,,4703
101835,1880497,REGULAR,FANTE'S COFFEE,,2501 GRINSTEAD DR,,LOUISVILLE,KY,40206,FOOD SERVICE,2024/09/13 00:00:00,100,A,FANTE'S COFFEE,,4704
